Statement,Label
Every study has shown that when work requirements are tied to federal safetynet programs it puts more people to work.,barely-true
MiamiDade County has banned Amanda Gormans poem from elementary schools.,barely-true
Electric vehicles are a giant computer that can be controlled remotely from some cloudbased central grid.,barely-true
Ron DeSantis voted against the wall.,barely-true
Said he was able to convince India Australia Japan and the United States to form an organization called the Quad to maintain stability in the Indian Ocean and the South China Sea.,barely-true
NYC mayor plans to track and limit meat and dairy.,barely-true
Donald Trump ran up more debt than any other president in American history.,barely-true
El gobierno de Estados Unidos estar otorgando 30000 visas mensuales para personas de Colombia Guatemala Honduras y El Salvador para poder venir a vivir a los Estados Unidos por dos aos con permiso de trabajo.,barely-true
The Republican plan would cut federal law enforcement officers  30000  including 11000 FBI agents 2000 border agents DEA agents and so on.,barely-true
A partir del 11 de mayo no podrn ser deportados personas que lleguen a la frontera de los Estados Unidos bajo el Ttulo 42.,barely-true
Many of these teachers are soldiers exsoldiers expoliceman.,barely-true
House Speaker Kevin McCarthy has quietly implemented a pay raise for members of Congress that could be $30000 per person. It circumvents the Constitution by instead reimbursing their rent utilities  meals.,barely-true
This year there have been 13000 deaths by gun violence. The vast majority 95 of them are in inner cities where you have some of the strictest gun control laws in the country.,barely-true
Democrats introduced a bill that would ban detaining gay illegal immigrants.,barely-true
Texas Gov. Greg Abbott cut $211 million in mental health funding.,barely-true
Addressing the impact of the House GOP debtceiling bill on veterans programs Im dead serious that were not cutting veterans and I mean it.,barely-true
Florida lawmakers danced after passing antitrans legislation.,barely-true
Says Social Security is a legal Ponzi scheme.,barely-true
Minority Leader Robert Reives sent out a statement  encouraging us to resign andor face a primary challenge.,barely-true
Buyers with good credit scores will pay even more to cover for those with bad credit.,barely-true
Face masks may raise risk of stillbirths testicular dysfunction and cognitive decline study warns.,barely-true
Oil pulling improves overall oral health strengthens gums helps prevent cavities whitens teeth and reduces plaque.,barely-true
BlackRock owns 59 million shares of Dominion Voting Systems and 45.7 million shares of Fox News. BlackRock sued itself and fired Tucker Carlson as part of the lawsuit.,barely-true
The abortion pill has been linked to the deaths of at least 28 women in the U.S. alone.,barely-true
George Soros is banned in Russia Pakistan Turkey Hungary Poland and the Philippines.,barely-true
The RESTRICT Act would allow the U.S. government to charge you with a felony and $1 million for having a VPN.,barely-true
Fewer people get hurt playing rugby than American football.,barely-true
La NASA advierte que el sol podra dejar de brillar y causar una catstrofe.,barely-true
