Statement,Label
"[""The average amount of assistance for the Supplemental Nutrition Assistance Program is $6 a day.""]",mostly-true
"[""Donald Trump wanted to amnesty 2 million illegal aliens in 2018 when he was president.""]",mostly-true
"[""Americans will get $1.1 B in rebates from health insurance companies this year cuz of a provision I wrote in the ACA.""]",mostly-true
"[""The New York state budget covers 96 of eligible preschoolers""]",mostly-true
"[""Latino small businesses are 1 in 4 new businesses but only 1 of venture capital funding goes to Latino businesses.""]",mostly-true
"[""Donald Trump himself wrote a book where he was talking about the need to increase the age of eligibility for Social Security to 70.""]",mostly-true
"[""Gov."", ""Ron DeSantis signed a lastminute exception into an antidiscrimination law for anyone who also operates a theme park more than 25 acres in Florida benefiting Walt Disney Co.""]",mostly-true
"[""Texas Republicans just voted to give a Republican appointee the power to singlehandedly CANCEL election results in the states largest Democratic county.""]",mostly-true
"[""Fentanyl is the leading cause of death for Americans 1845.""]",mostly-true
"[""Missouris attorney general has a website where people can report trans individuals and the people who help them.""]",mostly-true
"[""Florida has the second lowest tax burden per capita in the United States.""]",mostly-true
"[""One in 5 Americans has lost a family member to gun violence.""]",mostly-true
"[""Title 42 and other Trumpera holdovers are forcing migrants into dangerous overcrowded conditions in Mexico.""]",mostly-true
"[""Sullivan County has the highest opioid death rate in all of New York state yet its the only county in the Hudson Valley not included in the federal HighIntensity Drug Trafficking Area program.""]",mostly-true
"[""The UK has had ZERO school shootings since it changed its gun laws after a 1996 school shooting.""]",mostly-true
"[""Gun violence is the number one killer of children and teens  it has overtaken cars.""]",mostly-true
"[""Every single county in New York has experienced a federal climate disaster between 20112021.""]",mostly-true
"[""A proposal in Syracuse would pay gang members $100$200 per week to stay out of trouble.""]",mostly-true
"[""We cut Black child poverty in half in 2021 because of the child tax credit.""]",mostly-true
"[""Walgreens position has always been to dispense Mifepristone in any jurisdiction where it is legally permissible to do so.""]",mostly-true
"[""Wisconsin has seen over 63 billion dollars of federal pandemicrelated funding funnel into our state over Gov."", ""Tony Evers tenure.""]",mostly-true
"[""Wake County is the only large county in North Carolina that elects its commissioners atlarge countywide.""]",mostly-true
"[""New York City Mayor Eric Adams proposes to ban chocolate milk.""]",mostly-true
"[""Lifetime earnings of someone with a college degree is over a million dollars more than those entering the workforce without one.""]",mostly-true
"[""We banned transgender people from serving in the military.""]",mostly-true
"[""The whole green energy agenda involves more than doubling 10 types of mining.""]",mostly-true
"[""Obama imposed stricter rules on trains carrying toxins."", ""Trump killed them.""]",mostly-true
"[""Energy costs are the highest in 15 years.""]",mostly-true
"[""Canada is to thank for American football.""]",mostly-true
"[""Studies show that children who go to preschool are nearly 50 more likely to finish high school and go on to earn a two or fouryear degree no matter their background they came from.""]",mostly-true
"[""In Wisconsin even multimillionaires can be on BadgerCare because we dont even ask people what their income level is to qualify for free health care.""]",mostly-true
"[""In 2010 Wisconsin Republicans inherited a multiBillion dollar deficit  Today we are looking at a projected surplus approaching 7 Billion.""]",mostly-true
"[""The USA has a gun homicide rate 26 times higher than our peers.""]",mostly-true
"[""Virginia tax receipts in just the last four years alone have grown 50.""]",mostly-true
"[""Fiftyone percent of our taxes are paid by 2 of New Yorkers.""]",mostly-true
"[""Every prolife Governor up for election in November won  by a large margin.""]",mostly-true
"[""A default on our debt would be unprecedented in American history.""]",mostly-true
"[""Since a new immigration program was implemented the number of Venezuelans trying to enter the U.S. illegally decreased from about 1100 per day to less than 250 per day on average.""]",mostly-true
"[""Literally five homeless people a day die on our streets in the city of Los Angeles.""]",mostly-true
"[""Florida Senate Bill 2A does not provide immediate relief to homeowners dealing with high property insurance rates and will force some  constituents to pay up to 20 more.""]",mostly-true
"[""The U.S. trade deficit with China has gone from about $80 billion a year in the 1990s to $400 billion a year.""]",mostly-true
"[""Sen. Kyrsten Sinema voted with the president 93 of the time.""]",mostly-true
"[""For the last several months wages have gone up more than prices have gone up.""]",mostly-true
"[""In the first three quarters of 2022 the railroad industry made $21 billion in profits provided $25 billion in stock buybacks and dividends and CEOs are paid up to $20 million a year while railroad workers have zero guaranteed sick leave.""]",mostly-true
"[""When you compare us to the European Union were something like 23 times more likely to have homicides and handgun killings.""]",mostly-true
"[""An overwhelming majority of Wisconsinites support restoring Roe and legalizing marijuana.""]",mostly-true
"[""Herschel Walker wants a nationwide ban on abortion and said no exceptions not even for rape or incest or life of the mother.""]",mostly-true
"[""If Arizona were a country itd be the eighth largest incarcerator in the world.""]",mostly-true
"[""Sen. Marco Rubio helped write the law to raise prescription prices.""]",mostly-true
"[""The state is absorbing the cost of overtime pay for farmworkers and farm owners do not have to pay any more.""]",mostly-true
"[""Katie Hobbs has voted to double our gas tax.""]",mostly-true
"[""Says Ron Johnson is making excuses for rioters who tried to overthrow our government even calling them peaceful protests.""]",mostly-true
"[""One in six local election officials have received threats of violence and threats against judges have doubled over four years and threats against members of Congress have increased by 10 times over five years.""]",mostly-true
"[""Kari Lake and Mark Finchem have said that they will only honor the results of an election if they agree with it.""]",mostly-true
"[""Don Bolduc wants to cut trillions from Medicare and end Social Security.""]",mostly-true
"[""Carol Miller is a multimillionaire worth over $16 million.""]",mostly-true
"[""If a 12yearold girl became pregnant because of rape or incest Tim Michels would force her to deliver the baby.""]",mostly-true
"[""When I was your governor we reduced insurance rates by 10.""]",mostly-true
"[""WV families making less than $400K  small businesses will NOT be targeted by the IRS.""]",mostly-true
"[""Black women are 3 to 4 times more likely to die from maternal mortality even when they have the insurance and the income.""]",mostly-true
"[""Kari Lake has gone on the record saying she supports Arizonas complete abortion ban."", ""Shes called it a great law.""]",mostly-true
"[""I voted with Trump on trade.""]",mostly-true
"[""More fentanyl has crossed the border in the last two months under Biden than in 2019 under Trump.""]",mostly-true
"[""There have now been 16 straight months of OVER 150000 illegal border crossings.""]",mostly-true
