Statement,Label
"“Military, Trump thwart deep state blackout.”",pants-fire
"Amazon’s “Utopia” TV series predicted the COVID-19 pandemic and an intentional effort to sterilize humans, showing the pandemic was planned.",pants-fire
Boiling tap water causes fluoride in the water to be “more toxic.”,pants-fire
"The blue, pink, and white colors in the progress pride flag represent pedophiles",pants-fire
"""F.ight BREAKS as C.omer SHUTS UP Biden's lawyer with B0MBSHELL.""",pants-fire
Video shows Rep. Nancy Pelosi being arrested.,pants-fire
"""Estelas de aviones ... están modificadas con químicos por gobiernos poderosos para enfermar a las personas con fines económicos manipulativos y de reducción de la población"".",pants-fire
"""¡Rusia levanta la bandera blanca y se rinde a Ucrania!""",pants-fire
Photo shows the U.S. Pentagon “is under attack.”,pants-fire
"“AIDS-associated diseases and cancers have increased by 338x since the rollout of the COVID-19 vaccines, according to the CDC and foreign government bodies.""",pants-fire
"A video shows former President Barack Obama referring to his wife, Michelle as “Michael.”",pants-fire
“Street lights are connected to mRNA.”,pants-fire
Video shows “Pelosi CRIES LIKE KID after McCarthy kicked her out as speaker.”,pants-fire
An Instagram video shows a man confronting President Joe Biden about an inappropriate relationship with a 13-year-old girl.,pants-fire
“The government has been putting ground up human teeth and bone in our food and calling it 'calcium phosphate.’”,pants-fire
Photo shows Joe Biden touching a child inappropriately.,pants-fire
The National Parks Service posted about children who have been freed from human traffickers.,pants-fire
“Se filtran fotos” de “satanista enseñando sus Rituales y Adoración a lucifer a niños en bibliotecas de Estados Unidos”.,pants-fire
Este video muestra “reptilianos”.,pants-fire
Photo shows former first lady Michelle Obama as a man.,pants-fire
"“Michelle Obama’s mother dies, leaves inheritance to ‘My son Michael.’”",pants-fire
"Video shows Kamala Harris talking nonsensically about today, tomorrow and yesterday.",pants-fire
NASA's T-minus launch countdown is a mocking reference to Satan.,pants-fire
“Fauci arrested.”,pants-fire
“Babysitter on crystal meth eats 3-month-old toddler.”,pants-fire
Imagen muestra “el doble” del presidente Joe Biden firmando documentos con su mano izquierda.,pants-fire
"“Putin JUST SHUTDOWN All Oil To The US, Collapsing The US Economy!”",pants-fire
Photo shows President Joe Biden’s “body double” signing documents with his left hand.,pants-fire
“The flag of Washington’s District of Columbia has three red stars. One for each city state in the three-city empire.”,pants-fire
“Anheuser-Busch closing half its U.S. breweries” after Dylan Mulvaney backlash.,pants-fire
New York Gov. Kathy Hochul wants “quarantine camps” and “imprisonment” if you’re suspected of having a disease.,pants-fire
"Chemtrails are being put into the atmosphere and are trickling down into soil and water, becoming “the real cause of disease.”",pants-fire
"""There is no Biden presidency. The real Biden was executed for his crimes long ago along with Clinton.""",pants-fire
Video shows someone impersonating Joe Biden in a mask.,pants-fire
“El CEO de Pfizer es un lagarto (demonio)”.,pants-fire
A Pentagon plan and a CDC poster proves that a “zombie apocalypse” is coming.,pants-fire
“The Antarctic ice cap is not melting.”,pants-fire
"""Adam Schiff will be impeached.”",pants-fire
"Video shows Nancy Pelosi saying, “I’ve given a shoot-to-kill order for any breach of the speaker’s lobby,” on Jan. 6, 2021.",pants-fire
Symbols on Huggies diapers are coded references to pedophilia.,pants-fire
"""They have been preparing for mass extinction with these death caskets"" in Madison, Ga.",pants-fire
“34 dead after Lizzo attempted to crowd surf.”,pants-fire
"A video shows Sen. John Kennedy, R-La., playing a phone conversation between Rep. Alexandria Ocasio-Cortez, D-N.Y., and Hunter Biden.",pants-fire
"“Congress, White House, IRS, Feds, Federal Reserve are shut down.”",pants-fire
Manhattan District Attorney Alvin Bragg “has been arrested.”,pants-fire
Video proves John F. Kennedy Jr. is alive.,pants-fire
Video shows John F. Kennedy Jr. in a “real presidential convoy.”,pants-fire
The person purporting to be Tiffany Dover is an impostor.,pants-fire
HIV is not contagious.,pants-fire
"El presidente Joe Biden dijo, “estamos quebrados, completamente quebrados. Agarren su dinero del banco, sáquenlo, sáquenlo ya”.",pants-fire
Video shows U.S. Rep. Jim Jordan slapping special counsel Robert Mueller.,pants-fire
“FEMA camps are open for the upcoming arrests for crimes against humanity.”,pants-fire
Elon Musk said a new Tesla feature can scan testicles and use that information “to biometrically unlock and start the car.”,pants-fire
“Hillary Clinton indicted.”,pants-fire
Pouring soda on raw pork will cause parasites to emerge.,pants-fire
"A video shows Florida Gov. Ron DeSantis saying, “Now Trump’s been indicted, now the people will have no choice but to accept me as their assigned candidate.”",pants-fire
"A doctor tweeted that she doesn’t regret giving the COVID-19 vaccine, “even if it turns out I injected you with actual poison and you only have days to live.”",pants-fire
"Regarding Trump’s January 2021 telephone call with Georgia election officials, “nobody found anything wrong with that perfect call until a book promotion tour many months later.”",pants-fire
Video shows a crowd erupting and Hillary Clinton crying during a committee hearing.,pants-fire
Video shows Homeland Security Secretary Alejandro Mayorkas crying after a question from an aide to former President Donald Trump.,pants-fire
White House Press Secretary Karine Jean-Pierre was involved in a covered-up DUI accident,pants-fire
"Joe Biden received a military funeral service Jan. 20, 2021",pants-fire
Videos show former Secretary of State Hillary Clinton discussing a glass dome over Earth.,pants-fire
"U.S. Rep. Jim Jordan, R-Ohio, “sends Biden straight to jail.”",pants-fire
Former President Donald Trump is actually another man wearing a Trump mask.,pants-fire
"Morgan Freeman called out Joe Biden for talking about “ice cream” before commenting on the Nashville, Tennessee, school shooting.",pants-fire
"Rep. Alexandria Ocasio-Cortez, D-N.Y., “is now worth $29 million dollars.”",pants-fire
The Nashville shooter was wearing different pairs of shoes before and after being killed.,pants-fire
Video shows Florida Gov. Ron DeSantis saying he made certain political choices because “that’s where the money is.”,pants-fire
"A photo shows former President Barack Obama’s “old boyfriend,” to whom he paid “hush money.”",pants-fire
"At a Wisconsin school, a 12-year-old girl ""was transitioned into a boy by school officials without parental consent,"" and Protasiewicz supports it.",pants-fire
"The Nashville, Tennessee, school shooter was Samantha Hyde.",pants-fire
Manhattan District Attorney Alvin Bragg announced that his office “has decided to drop all charges against Donald Trump.”,pants-fire
Photo shows Pennsylvania Sen. John Fetterman has a body double.,pants-fire
Video shows Elon Musk saying he bought Twitter and unblocked Andrew Tate’s Twitter account because “we need to escape the suppression from the matrix and expose the global elites.”,pants-fire
Former President Donald Trump is the “current sitting” commander in chief.,pants-fire
Joe Biden was the first president in 100 years to unsuccessfully sing the alphabet song.,pants-fire
Angelina Jolie is dead.,pants-fire
