Tokenized Statement,Label
"['The', 'average', 'amount', 'of', 'assistance', 'for', 'the', 'Supplemental', 'Nutrition', 'Assistance', 'Program', 'is', '$', '6', 'a', 'day', '.']",mostlytrue
"['Donald', 'Trump', 'wanted', 'to', 'amnesty', '2', 'million', 'illegal', 'aliens', 'in', '2018', 'when', 'he', 'was', 'president', '.']",mostlytrue
"['Americans', 'will', 'get', '$', '1.1', 'B', 'in', 'rebates', 'from', 'health', 'insurance', 'companies', 'this', 'year', 'cuz', 'of', 'a', 'provision', 'I', 'wrote', 'in', 'the', 'ACA', '.']",mostlytrue
"['The', 'New', 'York', 'state', 'budget', 'covers', '96', 'of', 'eligible', 'preschoolers']",mostlytrue
"['Latino', 'small', 'businesses', 'are', '1', 'in', '4', 'new', 'businesses', 'but', 'only', '1', 'of', 'venture', 'capital', 'funding', 'goes', 'to', 'Latino', 'businesses', '.']",mostlytrue
"['Donald', 'Trump', 'himself', 'wrote', 'a', 'book', 'where', 'he', 'was', 'talking', 'about', 'the', 'need', 'to', 'increase', 'the', 'age', 'of', 'eligibility', 'for', 'Social', 'Security', 'to', '70', '.']",mostlytrue
"['Gov.', 'Ron', 'DeSantis', 'signed', 'a', 'lastminute', 'exception', 'into', 'an', 'antidiscrimination', 'law', 'for', 'anyone', 'who', 'also', 'operates', 'a', 'theme', 'park', 'more', 'than', '25', 'acres', 'in', 'Florida', 'benefiting', 'Walt', 'Disney', 'Co.']",mostlytrue
"['Texas', 'Republicans', 'just', 'voted', 'to', 'give', 'a', 'Republican', 'appointee', 'the', 'power', 'to', 'singlehandedly', 'CANCEL', 'election', 'results', 'in', 'the', 'states', 'largest', 'Democratic', 'county', '.']",mostlytrue
"['Fentanyl', 'is', 'the', 'leading', 'cause', 'of', 'death', 'for', 'Americans', '1845', '.']",mostlytrue
"['Missouris', 'attorney', 'general', 'has', 'a', 'website', 'where', 'people', 'can', 'report', 'trans', 'individuals', 'and', 'the', 'people', 'who', 'help', 'them', '.']",mostlytrue
"['Florida', 'has', 'the', 'second', 'lowest', 'tax', 'burden', 'per', 'capita', 'in', 'the', 'United', 'States', '.']",mostlytrue
"['One', 'in', '5', 'Americans', 'has', 'lost', 'a', 'family', 'member', 'to', 'gun', 'violence', '.']",mostlytrue
"['Title', '42', 'and', 'other', 'Trumpera', 'holdovers', 'are', 'forcing', 'migrants', 'into', 'dangerous', 'overcrowded', 'conditions', 'in', 'Mexico', '.']",mostlytrue
"['Sullivan', 'County', 'has', 'the', 'highest', 'opioid', 'death', 'rate', 'in', 'all', 'of', 'New', 'York', 'state', 'yet', 'its', 'the', 'only', 'county', 'in', 'the', 'Hudson', 'Valley', 'not', 'included', 'in', 'the', 'federal', 'HighIntensity', 'Drug', 'Trafficking', 'Area', 'program', '.']",mostlytrue
"['The', 'UK', 'has', 'had', 'ZERO', 'school', 'shootings', 'since', 'it', 'changed', 'its', 'gun', 'laws', 'after', 'a', '1996', 'school', 'shooting', '.']",mostlytrue
"['Gun', 'violence', 'is', 'the', 'number', 'one', 'killer', 'of', 'children', 'and', 'teens', ' ', 'it', 'has', 'overtaken', 'cars', '.']",mostlytrue
"['Every', 'single', 'county', 'in', 'New', 'York', 'has', 'experienced', 'a', 'federal', 'climate', 'disaster', 'between', '20112021', '.']",mostlytrue
"['A', 'proposal', 'in', 'Syracuse', 'would', 'pay', 'gang', 'members', '$', '100$200', 'per', 'week', 'to', 'stay', 'out', 'of', 'trouble', '.']",mostlytrue
"['We', 'cut', 'Black', 'child', 'poverty', 'in', 'half', 'in', '2021', 'because', 'of', 'the', 'child', 'tax', 'credit', '.']",mostlytrue
"['Walgreens', 'position', 'has', 'always', 'been', 'to', 'dispense', 'Mifepristone', 'in', 'any', 'jurisdiction', 'where', 'it', 'is', 'legally', 'permissible', 'to', 'do', 'so', '.']",mostlytrue
"['Wisconsin', 'has', 'seen', 'over', '63', 'billion', 'dollars', 'of', 'federal', 'pandemicrelated', 'funding', 'funnel', 'into', 'our', 'state', 'over', 'Gov.', 'Tony', 'Evers', 'tenure', '.']",mostlytrue
"['Wake', 'County', 'is', 'the', 'only', 'large', 'county', 'in', 'North', 'Carolina', 'that', 'elects', 'its', 'commissioners', 'atlarge', 'countywide', '.']",mostlytrue
"['New', 'York', 'City', 'Mayor', 'Eric', 'Adams', 'proposes', 'to', 'ban', 'chocolate', 'milk', '.']",mostlytrue
"['Lifetime', 'earnings', 'of', 'someone', 'with', 'a', 'college', 'degree', 'is', 'over', 'a', 'million', 'dollars', 'more', 'than', 'those', 'entering', 'the', 'workforce', 'without', 'one', '.']",mostlytrue
"['We', 'banned', 'transgender', 'people', 'from', 'serving', 'in', 'the', 'military', '.']",mostlytrue
"['The', 'whole', 'green', 'energy', 'agenda', 'involves', 'more', 'than', 'doubling', '10', 'types', 'of', 'mining', '.']",mostlytrue
"['Obama', 'imposed', 'stricter', 'rules', 'on', 'trains', 'carrying', 'toxins', '.', 'Trump', 'killed', 'them', '.']",mostlytrue
"['Energy', 'costs', 'are', 'the', 'highest', 'in', '15', 'years', '.']",mostlytrue
"['Canada', 'is', 'to', 'thank', 'for', 'American', 'football', '.']",mostlytrue
"['Studies', 'show', 'that', 'children', 'who', 'go', 'to', 'preschool', 'are', 'nearly', '50', 'more', 'likely', 'to', 'finish', 'high', 'school', 'and', 'go', 'on', 'to', 'earn', 'a', 'two', 'or', 'fouryear', 'degree', 'no', 'matter', 'their', 'background', 'they', 'came', 'from', '.']",mostlytrue
"['In', 'Wisconsin', 'even', 'multimillionaires', 'can', 'be', 'on', 'BadgerCare', 'because', 'we', 'do', 'nt', 'even', 'ask', 'people', 'what', 'their', 'income', 'level', 'is', 'to', 'qualify', 'for', 'free', 'health', 'care', '.']",mostlytrue
