Statement,Label
"[""A place like California they give immigrants in the country illegally benefits."", ""They give unemployment checks.""]",half-true
"[""A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice within the next five to seven years.""]",half-true
"[""The share of workingage men choosing to work is the lowest it has ever been.""]",half-true
"[""We pay by far the highest prices in the world for prescription drugs in some cases 10 times more than the people of any other country.""]",half-true
"[""In Congress Ron DeSantis pushed a 23 national sales tax.""]",half-true
"[""Four North Carolina Republicans made campaign promises to protect reproductive rights""]",half-true
"[""Sen. Tommy Tuberville is preventing military promotions because he objects to women within the military getting access to reproductive care.""]",half-true
"[""There is $500 billion of unspent COVID money that can be rescinded.""]",half-true
"[""Individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release.""]",half-true
"[""In the 1960s liberals emptied our psych wards.""]",half-true
"[""The 5 states with the highest gun homicide rates in the nation all have loose gun laws while the 5 states with the lowest rates have some of the toughest laws.""]",half-true
"[""In the next two years well spend more on interest on our national debt than we do on the national defense.""]",half-true
"[""Former President Donald Trump instructed all the governors to shut down because of the COVID19 pandemic.""]",half-true
"[""When discussing education savings accounts We would be 31st in the nation to have these policies going forward on behalf of kids.""]",half-true
"[""We have a national debt the size of our nations economy for the first time since World War II.""]",half-true
"[""As a sitting Supreme Court justice Daniel Kelly recused himself from a case then he pocketed $20000 in contributions from the plaintiff and family members and unrecused himself so he could judge the case.""]",half-true
"[""Businesses large and small have led Texas to be ranked the number one state for business every year that Ive been governor.""]",half-true
"[""Under a GOP bill on cash bail a large quantity of people who are accused of crimes including anyone who even witnesses certain crimes could now be detained and subject to bail.""]",half-true
"[""Democrats want to ban gas powered cars and gas stoves.""]",half-true
"[""Because of daylight saving time NO alarm set for the 200 a.m. hour will go off on March 12.""]",half-true
"[""Canada has only had 11 school shooting deaths  in history.""]",half-true
"[""Ron DeSantis voted to cut $473 billion from Medicare.""]",half-true
"[""Gov."", ""Abbott signed a bill last year eliminating the requirements for Texas schools to teach MLKs I have a dream speech.""]",half-true
"[""Right now driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car.""]",half-true
"[""We created more new jobs in two years than any president did in their entire term.""]",half-true
"[""During my time in office weve increased per pupil aid by more than $300 per student."", ""Now our schools have returned to the top 10 in the country after falling to 17 under the previous administration.""]",half-true
"[""Ron DeSantis bill would remove background checks instruction training and oversight.""]",half-true
"[""Female studentathletes in Florida need to provide their schools with detailed information about their periods.""]",half-true
"[""Under Biden we have seen over 4.6 million encounters at our southern border."", ""Most have been released into the interior and will stay here indefinitely.""]",half-true
"[""Two years ago this week 18 million people were out of work needing unemployment benefits."", ""Today that number is under 1.6 million the lowest in decades.""]",half-true
"[""One quarter of todays $31.4 trillion federal debt was accumulated in the four years of my predecessor Donald Trump.""]",half-true
"[""Classified documents can never be taken out of a sensitive compartmented information facility ever.""]",half-true
"[""When the Republicans were in power the last time for eight years do you know how much discretionary spending increased in those eight years Zero.""]",half-true
"[""Takehome pay for workers is going up.""]",half-true
"[""Floridas water is dirtier and sicker than when Gov."", ""DeSantis first took office.""]",half-true
"[""Luana Stoltenberg originally LOST her race for Iowa State House when Machines declared the Democrat the Winner.""]",half-true
"[""We have 85 million Americans who have no health insurance.""]",half-true
"[""60 of counties in this country are refusing to implement the nations gun laws.""]",half-true
"[""Herschel Walker is heavily funded by the oil and gas industry raking in more than $140000 in donations from Big Oil and other energy interests.""]",half-true
