Statement,Label
"[""An 11yearold boy saved the lives of two people on the same day.""]",True
"[""Infertility is treated differently than other issues and often excluded from insurance coverage""]",True
"[""Just last year MiamiDade Public Schools had over 14000 new children 10000 of which came from four countries of Cuba Nicaragua Venezuela and Haiti.""]",True
"[""For African American families in particular the homeownership rate remains relatively unchanged since 1968 the year the Fair Housing Act was signed into law.""]",True
"[""When a basketball player or football or baseball player from another team plays in Wisconsin that one games salary they pay Wisconsin income tax on it."", ""..."", ""So if for some reason we do not have the Brewers in Wisconsin all of those player salaries that generate dollars for the State of Wisconsin go away.""]",True
"[""If you need Girl Scout cookies this year and dont have a local troop to support please consider buying from Troop 6000 which is entirely made up of girls living in NYCs homeless shelters.""]",True
"[""Joe Biden was older on his first day as president than Ronald Reagan was on his last day.""]",True
"[""Many law enforcement agencies didnt submit their hate crime data to the FBI.""]",True
"[""WOW county swing suburban voters in Wisconsin dont vote for Donald Trump.""]",True
"[""Manhattan District Attorney Alvin Bragg has downgraded over 50 of the felonies to misdemeanors.""]",True
"[""$1 of every $3 Ron DeSantis spends comes from the federal government.""]",True
"[""If New Yorks proposed limits on natural gas in buildings take effect the grid today cant handle the increased electric load.""]",True
"[""Wisconsin is the nations top cranberry producer  in fact our farmers harvest around 60 percent of the countrys crop.""]",True
"[""Biden drained Americas Strategic Petroleum Reserves to the lowest level since 1984.""]",True
"[""Historically our spring elections including for state Supreme Court have a smaller turnout associated with them.""]",True
"[""Latina workers make 54 cents for every dollar earned by white nonHispanic men.""]",True
"[""Joe Bidens $36 billion for a union pension fund is the largest private pension bailout in American history.""]",True
"[""Proposed rule would limit milk for WIC participants""]",True
"[""In Milwaukee The homicide rate has nearly doubled in the past two years.""]",True
"[""Gas prices are down back to where they were before Russia invaded Ukraine.""]",True
"[""West Virginia is poised to receive $25M for 160 orphaned well cleanup projects across the state.""]",True
"[""Kari Lake is opposed to red flag laws.""]",True
"[""In Georgia its illegal to give people water within 150 feet of a polling place and punishable by up to a year in prison.""]",True
"[""Nancy Pelosi gave $30000  to boost LizMathis1s campaign""]",True
"[""David Schweikert has been convicted of 11 House ethics violations.""]",True
"[""Says Tim Michels opposes closing the loophole that allows domestic abusers to buy guns.""]",True
"[""Overdoses reached an alltime high in 2021.""]",True
"[""Herschel Walker misled about personally treating 4500 veterans per year about graduating from college and about working in law enforcement.""]",True
"[""Since 2019 Ive successfully lobbied for the funds to add hundreds of school counselors lowering our student to school counselor ratio by 20.""]",True
"[""40 of the folks who have student loans do not have a college diploma fouryear diploma."", ""These are people who are truck drivers and who are nail technicians and nurses aides.""]",True
"[""Image claims to show a list of Republican members of Congress whose PPP loans were forgiven.""]",True
"[""Says Republican U.S. Sen. Ron Johnson called climate change bull during a record heatwave and raked in over $700k in fossil fuel cash.""]",True
"[""In the Wisconsin State Assembly this session more than 75 of GOP bills received a public hearing."", ""Meanwhile the GOP allowed less than 2 of Democratic bills to have a hearing.""]",True
"[""Texas public high school graduation rate is at 90 overall.""]",True
"[""The four big meat packers are raking in record profits""]",True
"[""In Virginia Black people are eight times 8X more likely than white people to die of gun homicide.""]",True
"[""Wisconsins archaic abortion ban is older than 20 states.""]",True
"[""The tax carve out Ron Johnson spearheaded overwhelmingly benefited the wealthiest over small businesses.""]",True
"[""In a recent year the Milwaukee Police Department collected more guns per capita off the streets than in New York.""]",True
"[""In 2020 when Raphael Warnock ran a campaign ad featuring himself with a beagle that wasnt his dog.""]",True
"[""Because of U.S. Senate rules Democrats need more than a majority ... to codify Roe vs. Wade.""]",True
"[""The state crime lab under Attorney General Josh Kaul is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel including DNA.""]",True
"[""When the New York State Senate voted to legalize abortion in 1970 12 Republican senators voted in favor of it.""]",True
"[""New York leads the U.S. in population loss.""]",True
"[""Weve reduced crime to its lowest level in 27 years.""]",True
"[""Since taking office Hochul has passed more than 400 new bills""]",True
"[""Cannabis reform is supported by the majority of the residents of our state including a majority of Republicans.""]",True
"[""Only 2 of K12 students would benefit from Iowas school voucher bill.""]",True
"[""Virginia women are paid 80 cents for every dollar paid to Virginia men.""]",True
"[""Florida is 49th in the nation when it comes to Medicaid funding for people with disabilities.""]",True
"[""We are No."", ""1 among all large states in having fully vaccinated teenagers."", ""We are No."", ""2 in all large states for having fully vaccinated five to 11 yearolds.""]",True
"[""The US has made strides in reducing carbon emissions that other parts of the world have not.""]",True
"[""With the ongoing pandemic our State Park attendance is at the highest its ever been.""]",True
"[""In 2020 more journalists were killed in Mexico than in any other country in the world.""]",True
"[""100000 Americans died of an overdose in a single year.""]",True
"[""More than half of Virginias school buildings are older than 50 years.""]",True
"[""Says he has issued more pardons than any Wisconsin governor in contemporary history.""]",True
"[""Iowa Republicans have introduced a bill that would put governmentinstalled cameras in every single classroom to livestream school activities for parents to spy on teachers and children.""]",True
"[""In Iowa since we have put a number of the voting laws into place over the last several years  voter ID is one of those  weve actually seen voter participation increase even in offelection years.""]",True
"[""The number of COVID19 deaths recorded so far in 2021 has surpassed the total for 2020.""]",True
"[""You are 17 times more likely to go to the hospital if youre not vaccinated 20 times more likely to die.""]",True
"[""Gov."", ""Kim Reynolds touting $210 million for Iowa broadband failed to mention these are actually federal funds approved by Rep. Cindy Axne and signed into law by President Joe Biden.""]",True
"[""New York is leading the nation with the lowest imprisonment rate of any large state""]",True
"[""Iowa ranks 45th in the U.S. for internet connectivity.""]",True
"[""FUN FACT West Virginia is home to zero billionaires.""]",True
"[""Says gubernatorial candidate Rebecca Kleefisch worked with Scott Walker to sign five abortion restrictions into law that took away services and threatened doctors with prison time for providing safe and legal abortions.""]",True
"[""The Biden administration published a study concluding 4 of 5 new cars on the road by 2050 will still require liquid fuels.""]",True
"[""Southwest Airlines announce they will no longer terminate employees over the mandate.""]",True
"[""The annual Pentagon budget hovers over $750 billion annually twice that of the much debated Build Back Better Act that costs about $350 billion annually as currently proposed.""]",True
"[""If you look at the hospitalizations at Ruby Memorial in West Virginia and around the country 90 to 95 of those hospitalized are unvaccinated.""]",True
"[""Overdose deaths in WV are up 45 from the prior year.""]",True
"[""The GOPcontrolled Legislature has refused to act on at least 150 appointees of Gov."", ""Tony Evers.""]",True
"[""End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.""]",True
"[""The Trump administration worked to free 5000 Taliban prisoners.""]",True
"[""In Afghanistan over 100 billion dollars spent on military contracts.""]",True
"[""A photo shows two COVID19 patients lying on the floor awaiting treatment in Florida.""]",True
"[""Weve got 115000 miles of roads in this state and 90 is owned by the locals.""]",True
"[""324000 pregnant people experience domestic violence during their pregnancy.""]",True
"[""A quorumbreaking Texas Democrat said in 2007 that mailin ballot fraud is the greatest source of voter fraud in this state.""]",True
"[""Its been over 50 years since minimum wage and inflation parted ways then over a decade since the federal minimum went up at all.""]",True
"[""We have a record 9.3 million job openings in the U.S.""]",True
"[""Before the pandemic just over 40000 were on continuing UI claims."", ""Now there are well over 100000 on state or federal UI benefits.""]",True
"[""Its not currently legal for a New York state student to have a glass of fresh whole milk.""]",True
"[""Since 1978 CEO compensation rose over 1000 and only 11.9 for average workers.""]",True
"[""New Haven Conn. had to issue bonds for a bridge after using funds for that bridge to pay for a police misconduct settlement.""]",True
"[""Wisconsins 201921 budget produced the first positive general fund balance since 2000 and the governors proposed 202123 budget would return it to a deficit.""]",True
"[""Opposition to having a fully elected Chicago Board of Education is in the super minority.""]",True
"[""We now have more job openings than we do people who are on unemployment."", ""We have 60 more job openings today than we did the month before the pandemic hit the state of Texas.""]",True
"[""There are more job openings than there are people on unemployment in Iowa.""]",True
"[""Says he was one of the 2 state Senators who voted against North Carolinas body camera law.""]",True
"[""San Francisco had twice as many drug overdose deaths as COVID deaths last year.""]",True
"[""On Virginias new marijuana law You can have up to one pound with only a $25 fine.""]",True
"[""Foxconn is the largest taxpayer in Racine County.""]",True
"[""The federal American Rescue Plan will purchase more food from farmers for distribution.""]",True
"[""There is racism physically built into some of our highways.""]",True
"[""Twice as many children are inBorder Patrolcustody under Biden than Trump peak in 2019.""]",True
"[""U.S. Rep. Matt Gaetz was the lone vote in the House against an antihuman trafficking bill.""]",True
"[""Theres still only a handful of school districts doing no inperson instruction.""]",True
"[""West Virginia is the only state to decline in population over the last 70 years""]",True
"[""If you look at the average teacher pay compared to the average pay of your citizens Virginia ranks last.""]",True
"[""Pot today is not the weed baby boomers were smoking.""]",True
"[""86 of Americans and 82 of gun owners support requiring all gun buyers to pass a background check.""]",True
"[""The Georgia House passed a bill that makes it a misdemeanor to give food or water to voters waiting in line.""]",True
"[""The filibuster was never an idea of the founding fathers.""]",True
"[""Pipelines do not freeze."", ""They are naturally insulated."", ""Theyre buried beneath the ground.""]",True
"[""The National Academy of Medicine points to a significant correlation between marijuana and psychosis schizophrenia and other psychotic disorders particularly in teenagers where the risk of developing schizophrenia increases three fold.""]",True
"[""Becerra supports Bernies government takeover of your health care eliminating your employerprovided coverage.""]",True
"[""Were the only major gasproducing state in the US that doesnt have a severance tax.""]",True
"[""There is a direct connection between discriminatory policies within the USDA and the enormous land loss we have seen among Black farmers over the past century.""]",True
"[""Energy experts and State House Dems among others were warning of this the Texas power blackout for years.""]",True
"[""The Texas power grid is not part of the US power grid because they wanted to avoid federal regulation.""]",True
"[""We know mask mandates work."", ""Theres enough evidence out there between counties that have done it and counties that havent.""]",True
"[""Insulin prices have gone THRU THE ROOF for patientstaxpayers bc of manufacturer health plan  PBM biz practices.""]",True
"[""North Carolina Secretary of State Elaine Marshall has won more statewide races than probably anyone else alive.""]",True
"[""The United States is the only industrialized modernized country that does not already have a paid family medical leave program in place.""]",True
"[""Says Joe Biden has issued more executive fiats than anyone in such a short period of time ever more than Obama more than Trump more than anyone.""]",True
"[""We put $330 million in general school aids  the largest in more than a decade.""]",True
"[""There will be several thousand dollars in payments going to families with sixfigure incomes whove had no income interruption whatsoever.""]",True
"[""Virginia ranks in the bottom third of states in administering the COVID19 vaccine.""]",True
"[""It takes quite a while on Election Day to load those ballots which is why we have the 1 a.m. or 3 a.m. ballot dumping in Milwaukee.""]",True
"[""It wasnt all women that lost jobs in the December jobs report it was mostly Black and Latina women."", ""In fact white women gained employment.""]",True
"[""The second presidential impeachment of Donald Trump was the most bipartisan impeachment in American history.""]",True
"[""Summer protesters outside the White House were met with tear gas rubber bullets a full militarized response."", ""While ... rioters were able to breach the Capitol.""]",True
"[""Before COVID19 more Iowans were working than at any other time in our state history.""]",True
"[""This election actually was not unusually close.""]",True
"[""In more than 60 cases judges looked at the allegations that Trump was making and determined they were without any merit.""]",True
"[""Congress has one job here to count electoral votes that have in fact been cast by any state.""]",True
"[""In my state as in many other states we have governors who are closing down businesses again.""]",True
"[""Jurisdictions representing about 80 of WI residents have passed referendums or resolutions in favor of fair maps.""]",True
"[""New data shows inperson learning isnt driving spikes in cases.""]",True
"[""Wisconsin is one of the few states that doesnt allow absentee ballots to be processed before Election Day.""]",True
"[""Republican elected officials a network of propaganda publications in the state and some radio shock jocks were spreading a lie about his daughter breaking COVID19 restrictions.""]",True
"[""Says COVID19 has killed more North Carolinians in a year than the flu has in 10 years.""]",True
"[""People of color and those of not they use marijuana at the same rate."", ""People of color are three times more likely to get arrested and convicted.""]",True
"[""When Donald Trump lost the Iowa caucus to Ted Cruz in 2016 he immediately cried that Cruz cheated.""]",True
"[""We heard from the Department of Homeland Security ... that this was probably the most secure election thats ever been run in the United States.""]",True
