Statement,Label
A place like California they give immigrants in the country illegally benefits They give unemployment checks,halftrue
A chart on Arctic sea ice provides evidence that Al Gore was wrong when he said in 2009 that the north polar ice cap would lose all of its ice within the next five to seven years,halftrue
The share of workingage men choosing to work is the lowest it has ever been,halftrue
We pay by far the highest prices in the world for prescription drugs in some cases 10 times more than the people of any other country,halftrue
In Congress Ron DeSantis pushed a 23 national sales tax,halftrue
Four North Carolina Republicans made campaign promises to protect reproductive rights,halftrue
Sen Tommy Tuberville is preventing military promotions because he objects to women within the military getting access to reproductive care,halftrue
There is $500 billion of unspent COVID money that can be rescinded,halftrue
Individuals released from incarceration are 129 times more likely to die of a drug overdose during the first two weeks after release,halftrue
In the 1960s liberals emptied our psych wards,halftrue
The 5 states with the highest gun homicide rates in the nation all have loose gun laws while the 5 states with the lowest rates have some of the toughest laws,halftrue
In the next two years well spend more on interest on our national debt than we do on the national defense,halftrue
Former President Donald Trump instructed all the governors to shut down because of the COVID19 pandemic,halftrue
When discussing education savings accounts We would be 31st in the nation to have these policies going forward on behalf of kids,halftrue
We have a national debt the size of our nations economy for the first time since World War II,halftrue
As a sitting Supreme Court justice Daniel Kelly recused himself from a case then he pocketed $20000 in contributions from the plaintiff and family members and unrecused himself so he could judge the case,halftrue
Businesses large and small have led Texas to be ranked the number one state for business every year that Ive been governor,halftrue
Under a GOP bill on cash bail a large quantity of people who are accused of crimes including anyone who even witnesses certain crimes could now be detained and subject to bail,halftrue
Democrats want to ban gas powered cars and gas stoves,halftrue
Because of daylight saving time NO alarm set for the 200 am hour will go off on March 12,halftrue
Canada has only had 11 school shooting deaths  in history,halftrue
Ron DeSantis voted to cut $473 billion from Medicare,halftrue
Gov Abbott signed a bill last year eliminating the requirements for Texas schools to teach MLKs I have a dream speech,halftrue
Right now driving 100 miles in an electric vehicle is more expensive than driving an internal combustion engine car,halftrue
We created more new jobs in two years than any president did in their entire term,halftrue
During my time in office weve increased per pupil aid by more than $300 per student Now our schools have returned to the top 10 in the country after falling to 17 under the previous administration,halftrue
Ron DeSantis bill would remove background checks instruction training and oversight,halftrue
Female studentathletes in Florida need to provide their schools with detailed information about their periods,halftrue
Under Biden we have seen over 46 million encounters at our southern border Most have been released into the interior and will stay here indefinitely,halftrue
Two years ago this week 18 million people were out of work needing unemployment benefits Today that number is under 16 million the lowest in decades,halftrue
One quarter of todays $314 trillion federal debt was accumulated in the four years of my predecessor Donald Trump,halftrue
Classified documents can never be taken out of a sensitive compartmented information facility ever,halftrue
When the Republicans were in power the last time for eight years do you know how much discretionary spending increased in those eight years Zero,halftrue
Takehome pay for workers is going up,halftrue
Floridas water is dirtier and sicker than when Gov DeSantis first took office,halftrue
Luana Stoltenberg originally LOST her race for Iowa State House when Machines declared the Democrat the Winner,halftrue
We have 85 million Americans who have no health insurance,halftrue
60 of counties in this country are refusing to implement the nations gun laws,halftrue
Herschel Walker is heavily funded by the oil and gas industry raking in more than $140000 in donations from Big Oil and other energy interests,halftrue
Raphael Warnocks camp was shut down for failing to report five findings of child abuse and neglect,halftrue
Ted Budd voted to cut Medicare and Social Security and voted to raise the retirement age too,halftrue
They were never my comments that a woman cant get pregnant from rape,halftrue
Abraham Hamadeh says he will lock up doctors nurses pharmacists and punish women for abortion,halftrue
Marco Rubio le ha votado en contra a los Dreamers,halftrue
Deidre DeJear refused to stand for police,halftrue
Pennsylvania drop boxes were preloaded with ballots,halftrue
