Statement,Label
There is no war in Ukraine.,pants-fire
Cocaine porn evidence of child trafficking found in Gov. Gretchen Whitmers car.,pants-fire
Military Trump thwart deep state blackout.,pants-fire
Amazons Utopia TV series predicted the COVID19 pandemic and an intentional effort to sterilize humans showing the pandemic was planned.,pants-fire
Boiling tap water causes fluoride in the water to be more toxic.,pants-fire
The blue pink and white colors in the progress pride flag represent pedophiles,pants-fire
F.ight BREAKS as C.omer SHUTS UP Bidens lawyer with B0MBSHELL.,pants-fire
Video shows Rep. Nancy Pelosi being arrested.,pants-fire
Estelas de aviones ... estn modificadas con qumicos por gobiernos poderosos para enfermar a las personas con fines econmicos manipulativos y de reduccin de la poblacin.,pants-fire
Rusia levanta la bandera blanca y se rinde a Ucrania,pants-fire
Photo shows the U.S. Pentagon is under attack.,pants-fire
AIDSassociated diseases and cancers have increased by 338x since the rollout of the COVID19 vaccines according to the CDC and foreign government bodies.,pants-fire
A video shows former President Barack Obama referring to his wife Michelle as Michael.,pants-fire
Street lights are connected to mRNA.,pants-fire
Video shows Pelosi CRIES LIKE KID after McCarthy kicked her out as speaker.,pants-fire
An Instagram video shows a man confronting President Joe Biden about an inappropriate relationship with a 13yearold girl.,pants-fire
The government has been putting ground up human teeth and bone in our food and calling it calcium phosphate.,pants-fire
Photo shows Joe Biden touching a child inappropriately.,pants-fire
The National Parks Service posted about children who have been freed from human traffickers.,pants-fire
Se filtran fotos de satanista enseando sus Rituales y Adoracin a lucifer a nios en bibliotecas de Estados Unidos.,pants-fire
Este video muestra reptilianos.,pants-fire
Photo shows former first lady Michelle Obama as a man.,pants-fire
Michelle Obamas mother dies leaves inheritance to My son Michael.,pants-fire
Video shows Kamala Harris talking nonsensically about today tomorrow and yesterday.,pants-fire
NASAs Tminus launch countdown is a mocking reference to Satan.,pants-fire
Fauci arrested.,pants-fire
Babysitter on crystal meth eats 3monthold toddler.,pants-fire
Imagen muestra el doble del presidente Joe Biden firmando documentos con su mano izquierda.,pants-fire
Putin JUST SHUTDOWN All Oil To The US Collapsing The US Economy,pants-fire
Photo shows President Joe Bidens body double signing documents with his left hand.,pants-fire
The flag of Washingtons District of Columbia has three red stars. One for each city state in the threecity empire.,pants-fire
AnheuserBusch closing half its U.S. breweries after Dylan Mulvaney backlash.,pants-fire
New York Gov. Kathy Hochul wants quarantine camps and imprisonment if youre suspected of having a disease.,pants-fire
Chemtrails are being put into the atmosphere and are trickling down into soil and water becoming the real cause of disease.,pants-fire
There is no Biden presidency. The real Biden was executed for his crimes long ago along with Clinton.,pants-fire
Video shows someone impersonating Joe Biden in a mask.,pants-fire
El CEO de Pfizer es un lagarto demonio.,pants-fire
A Pentagon plan and a CDC poster proves that a zombie apocalypse is coming.,pants-fire
The Antarctic ice cap is not melting.,pants-fire
Adam Schiff will be impeached.,pants-fire
