TRUE,mostly-true,half-true,barely-true,FALSE,pants-fire
11yearold,differently,nicaragua,unchanged,player,troop
boy,excluded,venezuela,homeownership,wisconsin,nycs
saved,infertility,14000,particular,brewers,scout
lives,treated,miamidade,relatively,plays,cookies
same,often,haiti,fair,or,shelters
day,issues,cuba,1968,generate,please
two,coverage,10000,remains,baseball,consider
an,insurance,came,housing,basketball,entirely
people,other,countries,african,games,buying
the,from,schools,signed,football,6000
