Tokenized Statement,Label
"['Every', 'study', 'has', 'shown', 'that', 'when', 'work', 'requirements', 'are', 'tied', 'to', 'federal', 'safetynet', 'programs', 'it', 'puts', 'more', 'people', 'to', 'work', '.']",barelytrue
"['MiamiDade', 'County', 'has', 'banned', 'Amanda', 'Gormans', 'poem', 'from', 'elementary', 'schools', '.']",barelytrue
"['Electric', 'vehicles', 'are', 'a', 'giant', 'computer', 'that', 'can', 'be', 'controlled', 'remotely', 'from', 'some', 'cloudbased', 'central', 'grid', '.']",barelytrue
"['Ron', 'DeSantis', 'voted', 'against', 'the', 'wall', '.']",barelytrue
"['Said', 'he', 'was', 'able', 'to', 'convince', 'India', 'Australia', 'Japan', 'and', 'the', 'United', 'States', 'to', 'form', 'an', 'organization', 'called', 'the', 'Quad', 'to', 'maintain', 'stability', 'in', 'the', 'Indian', 'Ocean', 'and', 'the', 'South', 'China', 'Sea', '.']",barelytrue
"['NYC', 'mayor', 'plans', 'to', 'track', 'and', 'limit', 'meat', 'and', 'dairy', '.']",barelytrue
"['Donald', 'Trump', 'ran', 'up', 'more', 'debt', 'than', 'any', 'other', 'president', 'in', 'American', 'history', '.']",barelytrue
"['El', 'gobierno', 'de', 'Estados', 'Unidos', 'estar', 'otorgando', '30000', 'visas', 'mensuales', 'para', 'personas', 'de', 'Colombia', 'Guatemala', 'Honduras', 'y', 'El', 'Salvador', 'para', 'poder', 'venir', 'a', 'vivir', 'a', 'los', 'Estados', 'Unidos', 'por', 'dos', 'aos', 'con', 'permiso', 'de', 'trabajo', '.']",barelytrue
"['The', 'Republican', 'plan', 'would', 'cut', 'federal', 'law', 'enforcement', 'officers', ' ', '30000', ' ', 'including', '11000', 'FBI', 'agents', '2000', 'border', 'agents', 'DEA', 'agents', 'and', 'so', 'on', '.']",barelytrue
"['A', 'partir', 'del', '11', 'de', 'mayo', 'no', 'podrn', 'ser', 'deportados', 'personas', 'que', 'lleguen', 'a', 'la', 'frontera', 'de', 'los', 'Estados', 'Unidos', 'bajo', 'el', 'Ttulo', '42', '.']",barelytrue
"['Many', 'of', 'these', 'teachers', 'are', 'soldiers', 'exsoldiers', 'expoliceman', '.']",barelytrue
