Tokenized Statement,Label
"['Military', 'Trump', 'thwart', 'deep', 'state', 'blackout', '.']",pantsfire
"['Amazons', 'Utopia', 'TV', 'series', 'predicted', 'the', 'COVID19', 'pandemic', 'and', 'an', 'intentional', 'effort', 'to', 'sterilize', 'humans', 'showing', 'the', 'pandemic', 'was', 'planned', '.']",pantsfire
"['Boiling', 'tap', 'water', 'causes', 'fluoride', 'in', 'the', 'water', 'to', 'be', 'more', 'toxic', '.']",pantsfire
"['The', 'blue', 'pink', 'and', 'white', 'colors', 'in', 'the', 'progress', 'pride', 'flag', 'represent', 'pedophiles']",pantsfire
"['F.ight', 'BREAKS', 'as', 'C.omer', 'SHUTS', 'UP', 'Bidens', 'lawyer', 'with', 'B0MBSHELL', '.']",pantsfire
"['Video', 'shows', 'Rep.', 'Nancy', 'Pelosi', 'being', 'arrested', '.']",pantsfire
"['Estelas', 'de', 'aviones', '...', 'estn', 'modificadas', 'con', 'qumicos', 'por', 'gobiernos', 'poderosos', 'para', 'enfermar', 'a', 'las', 'personas', 'con', 'fines', 'econmicos', 'manipulativos', 'y', 'de', 'reduccin', 'de', 'la', 'poblacin', '.']",pantsfire
"['Rusia', 'levanta', 'la', 'bandera', 'blanca', 'y', 'se', 'rinde', 'a', 'Ucrania']",pantsfire
"['Photo', 'shows', 'the', 'U.S.', 'Pentagon', 'is', 'under', 'attack', '.']",pantsfire
"['AIDSassociated', 'diseases', 'and', 'cancers', 'have', 'increased', 'by', '338x', 'since', 'the', 'rollout', 'of', 'the', 'COVID19', 'vaccines', 'according', 'to', 'the', 'CDC', 'and', 'foreign', 'government', 'bodies', '.']",pantsfire
"['A', 'video', 'shows', 'former', 'President', 'Barack', 'Obama', 'referring', 'to', 'his', 'wife', 'Michelle', 'as', 'Michael', '.']",pantsfire
"['Street', 'lights', 'are', 'connected', 'to', 'mRNA', '.']",pantsfire
"['Video', 'shows', 'Pelosi', 'CRIES', 'LIKE', 'KID', 'after', 'McCarthy', 'kicked', 'her', 'out', 'as', 'speaker', '.']",pantsfire
"['An', 'Instagram', 'video', 'shows', 'a', 'man', 'confronting', 'President', 'Joe', 'Biden', 'about', 'an', 'inappropriate', 'relationship', 'with', 'a', '13yearold', 'girl', '.']",pantsfire
"['The', 'government', 'has', 'been', 'putting', 'ground', 'up', 'human', 'teeth', 'and', 'bone', 'in', 'our', 'food', 'and', 'calling', 'it', 'calcium', 'phosphate', '.']",pantsfire
"['Photo', 'shows', 'Joe', 'Biden', 'touching', 'a', 'child', 'inappropriately', '.']",pantsfire
"['The', 'National', 'Parks', 'Service', 'posted', 'about', 'children', 'who', 'have', 'been', 'freed', 'from', 'human', 'traffickers', '.']",pantsfire
"['Se', 'filtran', 'fotos', 'de', 'satanista', 'enseando', 'sus', 'Rituales', 'y', 'Adoracin', 'a', 'lucifer', 'a', 'nios', 'en', 'bibliotecas', 'de', 'Estados', 'Unidos', '.']",pantsfire
"['Este', 'video', 'muestra', 'reptilianos', '.']",pantsfire
"['Photo', 'shows', 'former', 'first', 'lady', 'Michelle', 'Obama', 'as', 'a', 'man', '.']",pantsfire
"['Michelle', 'Obamas', 'mother', 'dies', 'leaves', 'inheritance', 'to', 'My', 'son', 'Michael', '.']",pantsfire
"['Video', 'shows', 'Kamala', 'Harris', 'talking', 'nonsensically', 'about', 'today', 'tomorrow', 'and', 'yesterday', '.']",pantsfire
"['NASAs', 'Tminus', 'launch', 'countdown', 'is', 'a', 'mocking', 'reference', 'to', 'Satan', '.']",pantsfire
"['Fauci', 'arrested', '.']",pantsfire
"['Babysitter', 'on', 'crystal', 'meth', 'eats', '3monthold', 'toddler', '.']",pantsfire
"['Imagen', 'muestra', 'el', 'doble', 'del', 'presidente', 'Joe', 'Biden', 'firmando', 'documentos', 'con', 'su', 'mano', 'izquierda', '.']",pantsfire
"['Putin', 'JUST', 'SHUTDOWN', 'All', 'Oil', 'To', 'The', 'US', 'Collapsing', 'The', 'US', 'Economy']",pantsfire
"['Photo', 'shows', 'President', 'Joe', 'Bidens', 'body', 'double', 'signing', 'documents', 'with', 'his', 'left', 'hand', '.']",pantsfire
"['The', 'flag', 'of', 'Washingtons', 'District', 'of', 'Columbia', 'has', 'three', 'red', 'stars', '.', 'One', 'for', 'each', 'city', 'state', 'in', 'the', 'threecity', 'empire', '.']",pantsfire
"['AnheuserBusch', 'closing', 'half', 'its', 'U.S.', 'breweries', 'after', 'Dylan', 'Mulvaney', 'backlash', '.']",pantsfire
"['New', 'York', 'Gov.', 'Kathy', 'Hochul', 'wants', 'quarantine', 'camps', 'and', 'imprisonment', 'if', 'you', 're', 'suspected', 'of', 'having', 'a', 'disease', '.']",pantsfire
"['Chemtrails', 'are', 'being', 'put', 'into', 'the', 'atmosphere', 'and', 'are', 'trickling', 'down', 'into', 'soil', 'and', 'water', 'becoming', 'the', 'real', 'cause', 'of', 'disease', '.']",pantsfire
"['There', 'is', 'no', 'Biden', 'presidency', '.', 'The', 'real', 'Biden', 'was', 'executed', 'for', 'his', 'crimes', 'long', 'ago', 'along', 'with', 'Clinton', '.']",pantsfire
"['Video', 'shows', 'someone', 'impersonating', 'Joe', 'Biden', 'in', 'a', 'mask', '.']",pantsfire
"['El', 'CEO', 'de', 'Pfizer', 'es', 'un', 'lagarto', 'demonio', '.']",pantsfire
"['A', 'Pentagon', 'plan', 'and', 'a', 'CDC', 'poster', 'proves', 'that', 'a', 'zombie', 'apocalypse', 'is', 'coming', '.']",pantsfire
"['The', 'Antarctic', 'ice', 'cap', 'is', 'not', 'melting', '.']",pantsfire
"['Adam', 'Schiff', 'will', 'be', 'impeached', '.']",pantsfire
"['Video', 'shows', 'Nancy', 'Pelosi', 'saying', 'I', 've', 'given', 'a', 'shoottokill', 'order', 'for', 'any', 'breach', 'of', 'the', 'speakers', 'lobby', 'on', 'Jan.', '6', '2021', '.']",pantsfire
"['Symbols', 'on', 'Huggies', 'diapers', 'are', 'coded', 'references', 'to', 'pedophilia', '.']",pantsfire
"['They', 'have', 'been', 'preparing', 'for', 'mass', 'extinction', 'with', 'these', 'death', 'caskets', 'in', 'Madison', 'Ga.']",pantsfire
"['34', 'dead', 'after', 'Lizzo', 'attempted', 'to', 'crowd', 'surf', '.']",pantsfire
